player_id,player_name,draft_year,draft_pick,draft_round,draft_team,college_name,birth_date,age_at_draft,height_in,weight_lb,position,has_college_stats,coll_season,coll_class,coll_pos,coll_conf,coll_g,coll_mp_per_g,coll_pts_per_g,coll_trb_per_g,coll_ast_per_g,coll_stl_per_g,coll_blk_per_g,coll_tov_per_g,coll_fg_pct,coll_fg3_pct,coll_ft_pct,coll_efg_pct,coll_per,coll_ts_pct,coll_usg_pct,coll_bpm,career_seasons,career_g,career_ws,career_ws_per_48,career_bpm,career_vorp,peak_bpm,window_seasons,early_vorp_sum,early_bpm_mean,early_ws_sum,early_per_mean,outcome_tier
gordobe01,Ben Gordon,2004,3,1,CHI,UConn,1983-04-04,21.23,75.0,200.0,SG,True,2003-04,JR,G,Big East,39.0,34.5,18.5,4.7,4.5,1.4,0.2,2.8,0.434,0.433,0.829,0.528,,0.572,25.8,,11.0,744.0,33.3,0.078,-0.3,8.7,2.4,5,10.0,1.12,28.5,16.2,starter
livinsh01,Shaun Livingston,2004,4,1,LAC,,1985-09-11,18.79,79.0,192.0,PG,False,,,,,,,,,,,,,,,,,,,,,14.0,833.0,29.9,0.084,-1.0,4.3,0.4,5,0.8,-1.73,4.2,11.6,starter
harride01,Devin Harris,2004,5,1,WAS,Wisconsin,1983-02-27,21.33,75.0,185.0,PG,True,2003-04,JR,G,Big Ten,32.0,36.3,19.5,4.3,4.4,1.8,0.1,2.1,0.459,0.373,0.792,0.55,,0.606,27.6,,15.0,985.0,54.9,0.11,0.6,15.5,2.8,5,6.5,1.38,22.4,16.72,all_star
childjo01,Josh Childress,2004,6,1,ATL,Stanford,1983-06-20,21.02,80.0,210.0,SF,True,2003-04,JR,F,Pac-10,23.0,29.8,15.7,7.5,2.7,0.9,1.6,2.2,0.488,0.395,0.821,0.555,,0.602,25.8,,8.0,391.0,25.7,0.118,0.8,7.4,2.0,5,6.8,1.07,23.4,16.25,starter
denglu01,Luol Deng,2004,7,1,PHO,Duke,1985-04-16,19.2,81.0,237.0,SF,True,2003-04,FR,F,ACC,37.0,31.1,15.1,6.9,1.8,1.3,1.1,2.2,0.476,0.36,0.71,0.522,,0.551,24.7,,15.0,902.0,74.0,0.115,0.9,22.9,3.0,5,9.4,1.1,28.2,16.08,all_star
araujra01,Rafael Araújo,2004,8,1,TOR,BYU,1980-08-12,23.87,83.0,280.0,C,True,2003-04,SR,C,MWC,30.0,29.8,18.4,10.1,1.2,1.4,0.8,2.9,0.573,0.267,0.722,0.584,,0.616,31.2,,3.0,139.0,-0.4,-0.013,-7.2,-2.1,-5.2,3,-2.1,-6.77,-0.4,6.63,bust
iguodan01,Andre Iguodala,2004,9,1,PHI,Arizona,1984-01-28,20.41,78.0,215.0,PF,True,2003-04,SO,F,Pac-10,30.0,32.1,12.9,8.4,4.9,1.6,0.4,2.8,0.45,0.315,0.788,0.488,,0.542,20.4,,19.0,1231.0,100.4,0.122,2.1,41.3,4.0,5,16.9,2.32,40.6,16.76,superstar
jackslu02,Luke Jackson,2004,10,1,CLE,Oregon,1981-11-06,22.64,79.0,215.0,SF,True,2003-04,SR,G,Pac-10,31.0,34.6,21.2,7.2,4.5,1.3,0.2,3.0,0.488,0.44,0.862,0.573,,0.631,,,4.0,73.0,0.2,0.01,-3.7,-0.3,0.5,5,-0.3,-4.62,0.3,8.2,bust
biedran01,Andris Biedriņš,2004,11,1,GSW,,1986-04-02,18.23,83.0,240.0,C,False,,,,,,,,,,,,,,,,,,,,,10.0,516.0,30.7,0.132,-0.4,4.6,1.3,5,4.2,-0.24,24.2,16.58,starter
swiftro01,Robert Swift,2004,12,1,SEA,,1985-12-03,18.56,84.0,245.0,C,False,,,,,,,,,,,,,,,,,,,,,4.0,97.0,1.7,0.054,-3.8,-0.7,-2.5,5,-0.7,-4.65,1.6,8.07,bust
